chain_id,sub_chain_id,store_id,item_status,allow_discount,price,unit_of_measure,unit_of_measure_price,is_weighted,quantity,quantity_unit,quantity_in_package,manufacturer_item_description,manufacture_country,manufacturer_name,name,item_type,code,price_date
7290027600007,001,001,0,true,18.2,"100 מ""ל",30.33,false,60.0,מיליליטרים,0,טבסקו אקסטרה,US,ניצן,"טבסקו אקסטרה חריף 60 מ""ל",1,11210006508,2022-09-30 01:05
7290027600007,001,001,1,true,10.9,"100 מ""ל",3.3,false,330.0,מיליליטרים,1,מי קוקוס+מנגו,VN,ויט וורלד קומפני,"מי קוקוס + מנגו 330 מ""ל",1,16229917647,2022-09-30 00:30
7290027600007,001,001,1,true,16.9,יחידה,16.9,false,1.0,יחידה,0,זוג מברשות,IE,P&G,2מברשות אדוונטג' מדיום40,1,3014260022730,2022-09-30 01:05
7290027600007,001,001,1,true,22.9,יחידה,22.9,false,1.0,יחידה,0,טמפוני או בה,GR,ג'\ונסון אנד ג'\ונסון,טמפוני או בה נורמל 32 יח,1,3574660089547,2022-09-30 00:30
7290027600007,001,001,1,true,22.9,יחידה,22.9,false,1.0,יחידה,0,טמפוני או-בה,DE,"ש. שסטוביץ בע""\מ",32טמפ. או-בה פרוקומפ.מינ,1,3574660333466,2022-09-30 00:25
7290027600007,001,001,0,true,14.9,יחידה,14.9,false,1.0,יחידה,1,מגני תחתון קרפרי,GR,ג'\ונסון אנד ג'\ונסון,מגן תחתון קרפרי 56 יח',1,3574661487328,2022-09-30 00:30
7290027600007,001,001,1,true,29.6,"100 מ""ל",9.87,false,300.0,מיליליטרים,0,מסכת אלביב,DE,kozmetik canan,מסכה אלביב קולור פרוטקט,1,3600522344070,2022-09-30 00:30
7290027600007,001,001,1,true,30.0,"100 מ""ל",20.0,false,150.0,מיליליטרים,1,גרנייה פיור ניקו,FR,לוריאל,גרנייה פיור 3ב1ניקוי150מ,1,3600541937475,2022-09-30 01:05
7290027600007,001,001,0,true,29.9,"100 מ""ל",59.8,false,50.0,מיליליטרים,1,סקין נט אלו ג'ל,DE,לוריאל,"סקין נט אלו ג'לי 50 מ""ל",1,3600542232036,2022-09-30 00:30
7290027600007,001,001,1,true,16.9,יחידה,16.9,false,1.0,יחידה,0,צבעי שיער פלטה,SI,הנקל סוד,צבע סמי קיט 5-0 חום בהיר,1,3838824127248,2022-09-30 00:35
7290027600007,001,001,0,true,10.0,100 גרם,10.0,false,100.0,גרמים,1,שוקולד אקסלנס,DE,לינדט ושפרונגלי,שוק.מריר לינדט70%מילד100,1,4000539280726,2022-09-30 00:25
7290027600007,001,001,1,true,15.0,"100 מ""ל",10.0,false,150.0,מיליליטרים,0,דאודורנט ניוואה,DE,ביירסדורף,דאו.ניוואה בלק&וייט 150מ,1,4005900036483,2022-09-30 00:30
7290027600007,001,001,0,true,15.0,"100 מ""ל",30.0,false,50.0,מיליליטרים,1,דאודורנט ניוואה,DE,---,דאו.ניוואה בלק&וייט 50 מ,1,4005900542557,2022-09-30 01:05
7290027600007,001,001,1,true,14.9,100 גרם,42.57,false,35.0,גרמים,0,חליטת לימון,DE,טיקנה,חליטת לימון ג'ינג'ר20שק,1,4009300525684,2022-09-30 00:25
7290027600007,001,001,1,true,14.9,100 גרם,17.74,false,84.0,גרמים,1,אורביט בקבוק,PL,---,מסטיק בקבוק M בבלמינט84ג,1,4009900496247,2022-09-30 00:30
7290027600007,001,001,1,true,7.1,100 גרם,16.9,false,42.0,גרמים,0,סוכריות וורטר,DE,שטורק,סוכ.וורטר ל.סוכר בוקס42ג,1,4014400907902,2022-09-30 00:30
7290027600007,001,001,1,true,10.9,"100 מ""ל",5.45,false,200.0,מיליליטרים,0,דאודורנט FA,TR,הנקל סוד,דאו.ספריי פינק פשיין 200,1,4015000519915,2022-09-30 00:30
7290027600007,001,001,0,true,18.9,יחידה,18.9,false,1.0,יחידה,0,מגן תחתון אולויז,DE,פרוקטר אנד גמבל,68מגני תח.אולוייז מגה L,1,4015400564454,2022-09-30 00:30
7290027600007,001,001,0,true,18.9,יחידה,18.9,false,1.0,יחידה,0,תחבושות אולוייז,UA,פרוקטר אנד גמבל,18תחב.אולוייז לילה בטוח,1,4015400681670,2022-09-30 00:30
7290027600007,001,001,1,true,54.9,"100 מ""ל",7.32,false,750.0,מיליליטרים,1,בלו ווין מבעבע,DE,היי סישל סוהן טראבן,בלו ווין מבעבע זהב 750מל,1,4022025001905,2022-09-30 01:05
7290027600007,001,001,1,true,54.9,"100 מ""ל",7.32,false,750.0,מיליליטרים,1,בלו ווין מבעבע,DE,היי סישל סוהן טראבן,בלו ווין מבעבע כחול 750מ,1,4022025001929,2022-09-30 01:05
7290027600007,001,001,1,true,24.9,יחידה,24.9,false,1.0,יחידה,0,רצועות שעווה ויט,FR,רקיט בנקיזר,ויט 12רצועות שעווה צמחית,1,4053700292455,2022-09-30 00:30
7290027600007,001,001,1,true,17.9,"100 מ""ל",5.97,false,300.0,מיליליטרים,0,קרם לשיער פנטן,FR,פרוקטר אנד גמבל,פנטן קרם לחות מוגברת 300,1,4084500065536,2022-09-30 01:05
7290027600007,001,001,1,true,84.9,יחידה,84.9,false,1.0,יחידה,1,מברשת נטענת,DE,בראון,מברשת חשמלית נטענת-מבוגר,1,4210201262183,2022-09-30 01:05
7290027600007,001,001,1,true,57.9,"100 מ""ל",8.27,false,700.0,מיליליטרים,0,וודקה רוסקי,RU,,וודקה רוסקי,1,4603400000043,2022-09-30 00:30
7290027600007,001,001,0,true,24.9,"100 מ""ל",6.73,false,370.0,מיליליטרים,0,שמן שומשום,TW,,שמן שומשום,1,4710964104916,2022-09-30 00:30
7290027600007,001,001,0,true,12.9,100 גרם,7.59,false,170.0,גרמים,1,פילה סלמון ברוטב,LV,KARAVELLA,פילה סלמון ר.עגבניות170ג,1,4751007733229,2022-09-30 01:05
7290027600007,001,001,0,true,16.5,100 גרם,23.57,false,70.0,גרמים,1,מקלות קינמון,LK,אינטרנשיונל קומודטי אקספ,מקלות קינמון אורגני 70 ג,1,4793000637005,2022-09-30 01:05
7290027600007,001,001,1,true,19.9,100 גרם,5.85,false,340.0,גרמים,1,ממרח טבעוני,US,ארת' איילנד,ממרח טבעוני לסנדוויץ סלט,1,49568010342,2022-09-29 08:00
7290027600007,001,001,1,true,19.9,100 גרם,5.85,false,340.0,גרמים,1,ממרח טבעוני,US,ארת' איילנד,ממרח טבענ.מופחת שומן340ג,1,49568200347,2022-09-29 08:00
